,State,County,FIPS,Democratic,Republican,Party
316,TN,anderson,47001,21812.398164002647,18746.64569486037,0
317,NM,lincoln,35027,11446.614548143314,5441.570992140196,0
318,NJ,morris,34027,132374.18977086878,86644.80614275759,1
319,ND,oliver,38065,0.0,9795.318680966448,0
320,NE,wayne,31179,9149.747953381195,8321.14696248043,1
321,WA,asotin,53003,4496.159787600329,20530.9098652379,0
322,WY,teton,56039,36616.27578711623,7888.675845945056,0
323,TX,erath,48143,10946.45768905321,4125.981854132746,0
324,VT,grand isle,50013,16888.896011355442,3476.4660558526593,1
325,OH,morrow,39117,49.54813803356228,8661.296551714666,0
326,MN,kittson,27069,411.3116022833565,2131.2745156491146,0
327,NE,holt,31089,561.8736538312842,5684.126850901277,0
328,VA,petersburg city,51730,6311.556947500125,0.0,1
329,WV,hancock,54029,6243.221066099315,13282.762575188446,0
330,MN,redwood,27127,0.0,5850.155734710255,0
331,MN,hennepin,27053,271592.62465522886,163001.67939733213,1
332,TX,hansford,48195,1469.091905910158,0.0,0
333,NE,greeley,31077,0.0,817.0812744571194,0
334,TX,rains,48379,0.0,6334.770019438654,0
335,MA,worcester,25027,178519.79004744918,115886.19692996102,1
336,UT,weber,49057,43829.3193358095,43872.21575309193,0
337,TX,delta,48119,0.0,0.0,0
338,VA,waynesboro city,51820,6497.951160337285,12058.1008838883,0
339,ME,piscataquis,23021,1473.7378741010652,1181.496288927403,0
340,MT,petroleum,30069,787.9671608160934,0.0,0
341,WV,logan,54045,2106.79622383507,10765.694268793943,0
342,TX,jefferson,48245,47768.58737519037,28715.547160707036,1
343,VA,virginia beach city,51810,100511.12428598685,67829.78293129518,1
344,IN,vermillion,18165,0.0,8427.5605677472,0
345,MA,berkshire,25003,39727.991550923485,28591.555075758493,1
346,VA,prince edward,51147,5229.639836369752,0.0,0
347,NE,sioux,31165,7349.673694424073,0.0,0
348,TX,presidio,48377,14522.695517478833,0.0,1
349,IN,jennings,18079,0.0,10241.612633641262,0
350,ND,sioux,38085,0.0,0.0,1
351,NY,madison,36053,18953.766648198798,16799.956730734528,0
352,NM,sandoval,35043,30731.989317365267,32624.79052882222,0
353,TN,weakley,47183,6905.14801279972,6947.161834178478,0
354,OH,montgomery,39113,112553.62037994593,77585.98257003954,0
355,IN,miami,18103,0.0,13691.325340475169,0
356,IN,newton,18111,0.0,2659.734416619074,0
357,NE,sherman,31163,0.0,2164.728840404543,0
358,ND,stark,38089,5436.716155617738,23669.008701197625,0
359,WV,pleasants,54073,0.0,10744.729173096815,0
360,TX,panola,48365,0.0,2749.142592665441,0
361,WA,whitman,53075,26801.574840821093,200.82083738619986,1
362,NM,hidalgo,35023,0.0,0.0,0
363,TX,ochiltree,48357,0.0,0.0,0
364,WV,nicholas,54067,3765.896215030076,4572.736054386265,0
365,ND,divide,38023,6428.944687190076,4664.3926670452565,0
366,MT,garfield,30033,0.0,0.0,0
367,VA,gloucester,51073,9601.339028625429,13555.076084216507,0
368,VA,fauquier,51061,25605.20583547839,28353.98075434448,0
369,OH,henry,39069,0.0,11771.870243398835,0
370,TN,union,47173,0.0,1811.6098010205642,0
371,NE,deuel,31049,0.0,5285.137454076899,0
372,TX,gregg,48183,22768.61303785263,18098.086846001697,0
373,MI,kent,26081,137830.3823585255,87821.87000012094,0
374,VA,fairfax city,51600,39357.38338879391,15845.265605537272,1
375,IN,elkhart,18039,38281.30315642876,32859.8174042262,0
376,NY,new york,36061,375803.7696647287,210171.70877382052,1
377,VA,giles,51071,1174.9229525371084,9297.978110494174,0
378,WI,polk,55095,5949.348724193056,9180.891798540893,0
379,ND,bottineau,38009,1066.044355694139,2422.2266831083616,0
380,WI,richland,55103,271.4759154468011,4806.517133788866,0
381,IN,wabash,18169,3643.808882374433,14163.489511626081,0
382,OH,champaign,39021,2085.013473159539,12977.379689627895,0
383,UT,emery,49015,0.0,4290.189804958349,0
384,MN,olmsted,27109,49274.08853570634,28539.583597635596,0
385,MI,kalamazoo,26077,62524.50910865684,40355.628576176125,0
386,MN,marshall,27089,768.2812676482645,5090.010755863828,1
387,TX,roberts,48393,6023.247309355902,9546.916953526335,0
388,TN,trousdale,47169,492.55958121263757,43.20682738613323,0
389,TX,kleberg,48273,1423.8620984435584,15947.453054134898,0
390,PA,blair,42013,23278.08346648392,28052.158585197354,0
391,FL,hernando,12053,33145.79934616136,38248.26645036529,0
392,WA,kitsap,53035,58581.26663623529,47831.223992993706,1
393,OH,franklin,39049,265735.31789875653,161414.69464816336,1
394,TX,cass,48067,835.6961042954972,4490.743259875417,0
395,VT,chittenden,50007,59487.43568571075,30392.874748184124,0
396,OH,butler,39017,81819.37101318542,61574.27062826998,0
397,NE,franklin,31061,0.0,2615.4396993551018,0
398,MD,cecil,24015,21803.70142305516,28246.329976520734,0
399,NY,yates,36123,8415.167535201104,10692.04870738788,0
